Recording,10830mWh
Current Setpoint,1500
Low Voltage Stop,3300
Seconds, Voltage, Current, mAh, mWh
390.5485765,4.14,1499,162.855,680.234
391.5417865,4.14,1500,163.272,681.958
392.533912,4.14,1500,163.688,683.682
393.5426547,4.14,1500,164.105,685.406
394.5357896,4.14,1500,164.522,687.13
395.5440004,4.14,1500,164.938,688.854
396.5368091,4.138,1500,165.355,690.578
397.5288117,4.138,1499,165.772,692.302
398.5379155,4.138,1500,166.188,694.026
399.530656,4.138,1500,166.605,695.75
400.5228588,4.138,1499,167.022,697.474
401.5312584,4.138,1501,167.438,699.197
402.5236598,4.138,1501,167.855,700.921
403.5328883,4.138,1500,168.272,702.645
404.5249998,4.138,1500,168.688,704.368
405.5179172,4.138,1497,169.105,706.092
406.52599,4.138,1499,169.522,707.815
407.5191198,4.138,1499,169.938,709.538
408.5109199,4.138,1499,170.355,711.262
409.5201854,4.138,1498,170.772,712.985
410.5129247,4.138,1500,171.188,714.708
411.5213419,4.138,1500,171.605,716.431
412.513421,4.138,1500,172.022,718.154
413.5058833,4.138,1498,172.438,719.877
414.5149829,4.138,1500,172.855,721.6
415.5070592,4.136,1499,173.272,723.323
416.4998935,4.136,1500,173.688,725.046
417.5089038,4.136,1500,174.105,726.769
418.5011479,4.136,1499,174.522,728.491
419.5097955,4.136,1500,174.938,730.214
420.5019196,4.136,1500,175.355,731.936
421.4950403,4.136,1500,175.772,733.659
422.5031557,4.134,1499,176.188,735.381
423.4959397,4.134,1499,176.605,737.103
424.504033,4.134,1500,177.022,738.825
425.497078,4.134,1500,177.438,740.547
426.4890161,4.133,1499,177.855,742.269
427.4988803,4.132,1499,178.272,743.99
428.4908817,4.133,1500,178.688,745.712
429.4836629,4.133,1499,179.105,747.434
430.4919595,4.133,1500,179.522,749.155
431.4851599,4.134,1499,179.938,750.877
432.4928256,4.133,1500,180.355,752.598
433.4857637,4.133,1500,180.772,754.32
434.4788583,4.132,1499,181.188,756.041
435.4868079,4.133,1500,181.605,757.762
436.4793794,4.132,1497,182.022,759.483
437.4723053,4.131,1501,182.438,761.203
438.4808395,4.131,1500,182.855,762.924
439.4730929,4.131,1500,183.272,764.645
440.4816865,4.131,1499,183.688,766.365
441.4746045,4.129,1500,184.105,768.085
442.4670113,4.131,1500,184.522,769.806
443.4761334,4.129,1500,184.938,771.526
444.4679147,4.129,1501,185.351,773.228
445.4768888,4.129,1499,185.772,774.965
446.4689515,4.129,1500,186.188,776.685
447.4621078,4.129,1500,186.605,778.404
448.4708831,4.127,1499,187.022,780.124
449.4629858,4.127,1499,187.438,781.843
450.4559217,4.127,1500,187.855,783.562
451.4648512,4.125,1499,188.272,785.281
452.4569639,4.125,1499,188.688,786.999
453.46551,4.127,1499,189.105,788.718
454.4578573,4.127,1499,189.526,790.454
455.4508808,4.125,1500,189.938,792.155
456.4589157,4.125,1501,190.355,793.873
457.4520689,4.125,1500,190.772,795.591
458.4600054,4.125,1500,191.188,797.308
459.4529959,4.125,1500,191.605,799.026
460.4460691,4.125,1500,192.022,800.744
461.4541396,4.123,1500,192.438,802.461
462.4473693,4.123,1499,192.855,804.179
463.4391637,4.123,1498,193.272,805.896
464.4478722,4.121,1499,193.688,807.613
465.4399414,4.121,1500,194.105,809.33
466.448921,4.123,1499,194.522,811.046
467.4410672,4.121,1500,194.938,812.763
468.4341612,4.121,1499,195.355,814.479
469.4429221,4.119,1500,195.772,816.195
470.4353997,4.121,1499,196.188,817.911
471.4439284,4.121,1498,196.605,819.627
472.4368569,4.119,1499,197.022,821.343
473.4291049,4.119,1500,197.438,823.059
474.4377085,4.119,1499,197.855,824.775
475.4307985,4.119,1499,198.272,826.491
476.4229041,4.118,1500,198.688,828.206
477.4313862,4.119,1499,199.105,829.922
478.423407,4.119,1499,199.522,831.637
479.4328522,4.117,1499,199.938,833.352
480.4249965,4.118,1500,200.355,835.067
481.4176749,4.118,1500,200.772,836.782
482.4266081,4.117,1499,201.188,838.497
483.4188997,4.118,1500,201.605,840.212
484.4270291,4.116,1500,202.022,841.927
485.4199226,4.116,1500,202.438,843.641
486.4128917,4.115,1499,202.855,845.356
487.420915,4.116,1500,203.272,847.07
488.413962,4.116,1499,203.688,848.785
489.4069141,4.115,1499,204.105,850.499
490.4150264,4.116,1500,204.522,852.213
491.406965,4.115,1499,204.938,853.928
492.4158917,4.115,1499,205.355,855.642
493.4088554,4.116,1500,205.772,857.356
494.4012497,4.114,1500,206.188,859.069
495.4097557,4.116,1500,206.605,860.783
496.4028582,4.114,1499,207.022,862.497
497.410819,4.114,1499,207.438,864.211
498.4036772,4.114,1501,207.855,865.925
499.3959906,4.116,1500,208.272,867.638
500.4050962,4.114,1499,208.688,869.352
501.3972075,4.114,1500,209.105,871.066
502.3899184,4.116,1499,209.522,872.779
503.398374,4.114,1501,209.938,874.493
504.3908818,4.114,1499,210.355,876.206
505.3996389,4.112,1500,210.772,877.92
506.3921953,4.114,1500,211.188,879.633
507.3848755,4.114,1499,211.605,881.346
508.3934079,4.114,1499,212.022,883.06
509.3859174,4.114,1500,212.438,884.773
510.3789676,4.112,1500,212.855,886.486
511.3873788,4.112,1499,213.272,888.199
512.379886,4.112,1498,213.688,889.912
513.3879967,4.114,1499,214.109,891.642
514.3811473,4.112,1500,214.522,893.338
515.3728663,4.114,1499,214.938,895.05
516.3819397,4.112,1499,215.355,896.763
517.3753264,4.112,1501,215.772,898.476
518.3678897,4.112,1500,216.188,900.189
519.3759781,4.112,1499,216.605,901.902
520.3688551,4.112,1499,217.022,903.614
521.3773437,4.112,1500,217.438,905.327
522.3700676,4.112,1499,217.855,907.04
523.3622773,4.112,1499,218.272,908.752
524.3711676,4.112,1499,218.688,910.465
525.3633733,4.11,1498,219.105,912.177
526.3719122,4.112,1500,219.522,913.89
527.364971,4.11,1500,219.938,915.603
528.3569702,4.11,1498,220.355,917.315
529.3659017,4.11,1498,220.772,919.028
530.358856,4.11,1499,221.188,920.74
531.350959,4.112,1499,221.605,922.452
532.359444,4.112,1499,222.022,924.165
533.3525499,4.112,1500,222.438,925.877
534.3608608,4.11,1500,222.855,927.589
535.3527863,4.11,1499,223.272,929.302
536.3461901,4.11,1499,223.688,931.014
537.3548943,4.112,1499,224.105,932.726
538.3469108,4.11,1499,224.522,934.438
539.3398993,4.11,1499,224.938,936.15
540.3479889,4.11,1498,225.355,937.863
541.340906,4.112,1498,225.772,939.575
542.3491747,4.11,1498,226.188,941.287
543.3418867,4.112,1500,226.605,942.999
544.3342827,4.11,1499,227.022,944.711
545.3429457,4.11,1499,227.438,946.423
546.3359214,4.11,1499,227.855,948.135
547.3279169,4.11,1499,228.272,949.847
548.3367178,4.112,1498,228.688,951.559
549.3287955,4.11,1498,229.105,953.271
550.3378857,4.11,1499,229.522,954.983
551.330827,4.108,1500,229.938,956.695
552.3229599,4.108,1500,230.355,958.406
553.3314317,4.108,1501,230.772,960.118
554.3240322,4.108,1500,231.188,961.83
555.3170671,4.108,1499,231.605,963.541
556.3249163,4.11,1500,232.022,965.253
557.3178993,4.11,1500,232.438,966.965
558.3260313,4.11,1499,232.855,968.676
559.3189671,4.11,1500,233.272,970.388
560.3118205,4.108,1499,233.688,972.1
561.3196891,4.11,1500,234.105,973.811
562.3128573,4.108,1500,234.522,975.523
563.3210456,4.11,1498,234.938,977.234
564.3139706,4.11,1499,235.355,978.946
565.3063336,4.11,1500,235.772,980.657
566.3148959,4.108,1498,236.188,982.369
567.3079208,4.108,1500,236.605,984.08
568.3001444,4.108,1498,237.022,985.791
569.3091135,4.108,1500,237.438,987.502
570.3012722,4.108,1499,237.855,989.213
571.3100826,4.108,1499,238.272,990.924
572.3022396,4.108,1500,238.688,992.635
573.2949135,4.106,1500,239.105,994.346
574.3039926,4.106,1500,239.522,996.057
575.2960348,4.106,1499,239.938,997.768
576.2891967,4.108,1500,240.355,999.479
577.2970977,4.104,1500,240.772,1001.189
578.2899576,4.106,1500,241.188,1002.9
579.2989105,4.106,1500,241.605,1004.61
580.290941,4.106,1499,242.022,1006.321
581.2838299,4.108,1500,242.434,1008.015
582.2920565,4.106,1499,242.855,1009.742
583.2848829,4.108,1500,243.272,1011.452
584.2779152,4.106,1500,243.688,1013.162
585.2861003,4.106,1500,244.105,1014.872
586.2788945,4.106,1500,244.522,1016.582
587.2872304,4.106,1500,244.938,1018.292
588.2798846,4.106,1500,245.355,1020.002
589.2729385,4.106,1499,245.772,1021.712
590.2809806,4.104,1500,246.188,1023.422
591.2739093,4.104,1500,246.605,1025.132
592.2668216,4.104,1500,247.022,1026.841
593.2749259,4.104,1499,247.438,1028.55
594.2679827,4.104,1500,247.855,1030.26
595.2759187,4.105,1501,248.272,1031.969
596.2688309,4.103,1500,248.688,1033.678
597.2611763,4.102,1499,249.105,1035.387
598.2697784,4.103,1500,249.522,1037.096
599.2627287,4.103,1500,249.938,1038.805
600.255055,4.103,1500,250.355,1040.514
601.2638913,4.103,1500,250.772,1042.223
602.256141,4.102,1497,251.188,1043.931
603.2648561,4.1,1499,251.605,1045.64
604.2569838,4.101,1500,252.022,1047.349
605.2499183,4.101,1499,252.438,1049.057
606.2582038,4.1,1498,252.855,1050.765
607.2509155,4.101,1501,253.272,1052.473
608.2588871,4.101,1500,253.688,1054.181
609.2520232,4.099,1500,254.105,1055.889
610.2448939,4.1,1499,254.522,1057.596
611.2530628,4.099,1500,254.938,1059.304
612.2456502,4.099,1500,255.355,1061.011
613.2388967,4.099,1500,255.772,1062.718
614.2469146,4.099,1500,256.188,1064.425
615.239205,4.099,1500,256.605,1066.132
616.2482099,4.099,1499,257.022,1067.839
617.2410738,4.097,1500,257.438,1069.546
618.233899,4.097,1500,257.855,1071.252
619.2420671,4.097,1500,258.272,1072.958
620.2349788,4.097,1500,258.688,1074.665
621.227614,4.097,1499,259.105,1076.371
622.2359211,4.095,1499,259.522,1078.077
623.2286249,4.095,1498,259.938,1079.783
624.2368569,4.097,1497,260.355,1081.489
625.229894,4.095,1501,260.772,1083.194
626.2219177,4.093,1500,261.188,1084.9
627.2309818,4.095,1499,261.605,1086.605
628.2229838,4.093,1500,262.022,1088.31
629.2150453,4.091,1499,262.438,1090.015
630.2249166,4.093,1500,262.855,1091.72
631.2168506,4.093,1500,263.272,1093.425
632.2253799,4.093,1499,263.688,1095.129
633.2183439,4.093,1499,264.105,1096.834
634.210394,4.091,1500,264.522,1098.538
635.2192106,4.093,1498,264.938,1100.243
636.2115065,4.091,1500,265.355,1101.947
637.2044953,4.091,1499,265.772,1103.651
638.2129225,4.091,1500,266.188,1105.355
639.2060981,4.089,1500,266.605,1107.059
640.2139083,4.089,1500,267.022,1108.762
641.2064406,4.091,1499,267.438,1110.466
642.1988994,4.089,1500,267.855,1112.169
643.207782,4.089,1500,268.272,1113.872
644.2005156,4.089,1499,268.688,1115.575
645.2089718,4.089,1498,269.105,1117.278
646.2015345,4.089,1499,269.522,1118.981
647.1941117,4.088,1500,269.938,1120.684
648.2030813,4.088,1500,270.355,1122.387
649.1948876,4.089,1499,270.772,1124.09
650.1881034,4.088,1500,271.184,1125.776
651.1968523,4.088,1500,271.605,1127.495
652.1893194,4.088,1500,272.022,1129.198
653.1968756,4.088,1500,272.438,1130.9
654.1903058,4.088,1501,272.855,1132.603
